brand,price,Kondisi,TahunKendaraan,Kilometer,Warna,Transmisi,JumlahGir,Pintu,KapasitasKursi,Dirakit,EngineCC,Baut(mm),Struk(mm),TenagaPuncak(hp),TenagaPutaranPuncak(Nm),InjeksiLangsung,Aspirasi,TipeBahanBakar,RadiusPutar,Panjang(mm),Lebar(mm),Tinggi(mm),JarakRoda(mm),ThreadDepan,ThreadBelakang,KonsumsiBahanBakar(L/100km),BeratKosong(kg),RasioKompresi,EmisiCO2,0-100km/jam(detik),KecepatanTertinggi(km/jam)
Toyota,615000000,Mobil Bekas,2024,0 - 5K km,Silver,Manual,5,4,16,Complete Built Up (CBU),2982,96,103,134,300,Direct Injection,Turbocharged,Solar,12.4,5380,1880,2285,3110,1665,1650,,,,,,
Toyota,175000000,Mobil Bekas,2014,110 - 115K km,Silver,Automatic,4,5,8,Complete Knock Down (CKD),1998,,,134,182,Multi-Point Injection,Aspirated,Pertamax,,4585,1760,1750,2750,1510,1510,10.5,1535,,,,
Toyota,288000000,Mobil Bekas,2012,170 - 175K km,Putih,Automatic,7,5,7,Complete Built Up (CBU),2362,88.5,96,168,220,Multi-Point Injection,Aspirated,Pertamax,11.8,4885,1840,1900,2950,1570,1575,9.4,1890,9.6,218,,
Suzuki,180000000,Mobil Bekas,2020,40 - 45K km,Orange,Automatic,4,5,7,Complete Knock Down (CKD),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,4450,1775,1710,2740,1515,1530,,,10.5,,,
Toyota,199000000,Mobil Bekas,2019,40 - 45K km,Putih,Automatic,4,5,7,Complete Knock Down (CKD),1496,72.5,90.6,103,136,Multi-Point Injection,Aspirated,Pertamax,,4435,1695,1705,2685,1450,1460,,,,,,
Mitsubishi,307900000,Mobil Baru,2024,- km,Putih,Automatic,,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4595,1750,1750,,,,,,,,,
Mitsubishi,190000000,Mobil Bekas,2018,105 - 110K km,Abu-abu,Automatic,4,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4475,1750,1700,2275,,,,,,,,
Honda,305000000,Mobil Bekas,2017,60 - 65K km,Abu-abu,Automatic,,4,5,Complete Built Up (CBU),1498,73,89.5,173,220,Direct Injection,Turbocharged,Pertamax,,4630,2075,1416,2700,1547,1563,6,,10.6,140,6.8,
Mitsubishi,260200000,Mobil Baru,2024,- km,Hitam,Manual,5,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4595,1750,1730,,,,,,,,,
Suzuki,235000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,4,5,5,Complete Built Up (CBU),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,3990,1745,1485,2520,1505,1510,4.5,,,,,
Honda,175000000,Mobil Bekas,2016,155 - 160K km,Silver,Automatic,,5,5,Complete Knock Down (CKD),1497,73,89.4,118,145,Multi-Point Injection,Aspirated,Pertamax,,4294,1772,1580,2610,1472,1475,6.5,1226,10.3,155,,
Suzuki,141525000,Mobil Baru,2024,0 - 5K km,Putih,Manual,5,2,3,Complete Knock Down (CKD),1462,74,85,96,135,Multi-Point Injection,Aspirated,Pertamax,8.8,4195,1675,1870,2205,1345,1330,,,,,,
Mercedes-Benz,1440000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,9,5,5,Complete Knock Down (CKD),1999,,,258,400,Direct Injection,Turbocharged,Pertamax,11.8,4721,2076,1631,2888,,,7.3,1925,10,167,6.2,240
Toyota,132000000,Mobil Bekas,2014,110 - 115K km,Silver,Automatic,4,5,7,Complete Knock Down (CKD),1496,72.5,90.6,103,136,Multi-Point Injection,Aspirated,Pertamax,,4140,1660,1695,2655,,,7.6,1105,,178,,
Hyundai,317400000,Mobil Baru,2024,0 - 5K km,Merah,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4495,1815,1710,2780,,,,,10.5,,,
Toyota,125000000,Mobil Bekas,2011,105 - 110K km,Hitam,Automatic,4,5,5,Complete Knock Down (CKD),1495,,,107,141,Multi-Point Injection,Aspirated,Pertamax,,4420,1745,1740,2685,,,,1200,,,,
Honda,305000000,Mobil Bekas,2017,60 - 65K km,Putih,Automatic,5,5,5,Complete Knock Down (CKD),2354,,,188,222,Multi-Point Injection,Aspirated,Pertamax,,4595,1820,1685,2620,1580,1580,8.4,1560,,196,,
Honda,230000000,Mobil Bekas,2015,145 - 150K km,Hitam,Automatic,5,5,5,Complete Knock Down (CKD),2354,87,99,187,222,Multi-Point Injection,Aspirated,Pertamax,11.8,4545,1820,1685,2620,1565,1565,8.4,1530,10,196,,
Honda,130000000,Mobil Bekas,2017,50 - 55K km,Silver,Automatic,5,5,5,Complete Knock Down (CKD),1199,73,71.6,89,110,Multi-Point Injection,Aspirated,Pertamax,,3640,1680,1485,2345,1480,1465,,960,,,,
Hyundai,317400000,Mobil Baru,2024,0 - 5K km,Silver,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4495,1815,1710,2780,,,,,10.5,,,
Hyundai,317400000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4495,1815,1710,2780,,,,,10.5,,,
Mazda,668800000,Mobil Baru,2023,0 - 5K km,Putih,Automatic,6,5,5,Complete Built Up (CBU),2488,89,100,188,252,Direct Injection,Aspirated,Pertamax,11,4550,1840,1680,2700,1595,1595,,1604,13,,,
Mazda,565000000,Mobil Baru,2024,0 - 5K km,Abu-abu,Automatic,6,5,5,Complete Built Up (CBU),1998,83.5,91.2,153,200,Direct Injection,Aspirated,Pertamax,10.6,4460,1765,1435,2725,1570,1580,,1400,13,,,
Toyota,168000000,Mobil Bekas,2013,155 - 160K km,Putih,Automatic,4,5,8,Complete Knock Down (CKD),1998,,,134,182,Multi-Point Injection,Aspirated,Pertamax,,4585,1775,1750,2750,,,10.5,1545,,,,
Toyota,382000000,Mobil Bekas,2018,70 - 75K km,Hitam,Automatic,6,5,7,Complete Knock Down (CKD),2393,92,90,147,400,Direct Injection,Turbocharged,Solar,,4795,1855,1835,2745,1545,1555,,2110,,,,
RAM,5200000000,Mobil Baru,2023,0 - 5K km,Hitam,Automatic,8,4,5,Complete Built Up (CBU),6166,103.9,90.9,702,882,Multi-Point Injection,Supercharged,Pertamax,14.7,5916,2235,2055,3686,1892,1882,19.6,2880,9.5,,4.5,159
Hyundai,317400000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4495,1815,1710,2780,,,,,10.5,,,
Toyota,162000000,Mobil Bekas,2013,95 - 100K km,Hitam,Automatic,6,4,5,Complete Built Up (CBU),2494,,,179,228,Multi-Point Injection,Aspirated,Pertamax,,4825,1825,1470,2775,1575,1560,7.7,1465,,184,9.2,
Hyundai,317400000,Mobil Baru,2024,0 - 5K km,Merah,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4495,1815,1710,2780,,,,,10.5,,,
Toyota,265200000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,5,Complete Knock Down (CKD),996,71,83.9,97,140,Multi-Point Injection,Turbocharged,Pertamax,10.2,4030,1710,1635,2525,1475,1470,,1680,9.5,,,
Toyota,249700000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,7,Complete Knock Down (CKD),1496,72.5,90.6,105,137,Multi-Point Injection,Aspirated,Pertamax,9.8,4395,1730,1700,2750,1505,1500,,,,,,
Toyota,388000000,Mobil Bekas,2019,40 - 45K km,Hitam,Automatic,6,4,5,Complete Built Up (CBU),2494,,,180,234,Multi-Point Injection,Aspirated,Pertamax,,4885,1840,1445,2825,1590,1615,,1545,,,,
Toyota,290500000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,7,Complete Knock Down (CKD),1496,72.5,90.6,105,137,Multi-Point Injection,Aspirated,Pertamax,9.8,4475,1750,1700,2750,1515,1510,,,,,,
Toyota,274750000,Mobil Baru,2024,0 - 5K km,Putih,Manual,5,5,7,Complete Knock Down (CKD),1496,72.5,90.6,103,136,Multi-Point Injection,Aspirated,Pertamax,,4435,1695,1705,2685,1450,1460,,,,,,
Toyota,411400000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,8,Complete Knock Down (CKD),1987,80.5,97.6,172,205,Direct Injection,Aspirated,Pertamax,,4755,1850,1795,2850,1560,1580,,1595,13,,,
Hyundai,246300000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4460,1780,1690,2780,,,,1272,10.5,,,
Toyota,1630300000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,7,Complete Built Up (CBU),2494,90,98,180,235,Multi-Point Injection,Aspirated,Pertamax,,5010,1850,1945,3000,,,,2155,10.4,,11.3,190
Toyota,602000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,7,Complete Built Up (CBU),1986,,,168,202,Multi-Point Injection,Aspirated,Pertamax,,4695,1730,1855,2850,,,,,13,,,
Toyota,534600000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,8,Complete Knock Down (CKD),1987,80.5,97.6,111,188,Direct Injection,Aspirated,Pertamax,,4755,1850,1795,2850,1560,1580,,,14,,,
Hyundai,246300000,Mobil Baru,2024,0 - 5K km,Abu-abu,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4460,1780,1690,2780,,,,1272,10.5,,,
Suzuki,192000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,4,5,5,Complete Built Up (CBU),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,3990,1745,1485,2520,1505,1510,4.5,,,,,
Toyota,460600000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,8,Complete Knock Down (CKD),1987,80.5,97.6,111,188,Direct Injection,Aspirated,Pertamax,,4755,1850,1795,2850,1560,1580,,1685,14,,,
Toyota,214700000,Mobil Baru,2024,0 - 5K km,Putih,Manual,5,5,7,Complete Knock Down (CKD),1329,72.5,80.5,97,122,Multi-Point Injection,Aspirated,Pertamax,9.8,4395,1730,1665,2750,1515,1510,,,,,,
Hyundai,246300000,Mobil Baru,2024,0 - 5K km,Merah,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4460,1780,1690,2780,,,,1272,10.5,,,
Wuling,196000000,Mobil Bekas,2022,6000 km,Putih,Automatic,1,3,4,Complete Knock Down (CKD),,,,,,,,Electric,,2974,1505,1631,2010,,,,760,,,,
Lamborghini,13250000000,Mobil Baru,2022,0 - 5K km,Biru,Automatic,7,2,2,Complete Built Up (CBU),5204,84.5,92.8,630,565,Direct & Multi-Point Injection,Aspirated,Pertamax,,4547,1945,1220,2620,,,13.9,1339,12.7,331,3,310
Land Rover,3700000000,Mobil Baru,2023,0 - 5K km,Hijau,Automatic,8,5,5,Complete Built Up (CBU),1997,83,92.3,398,640,Direct Injection,Turbocharged,Pertamax,12.8,5018,2008,1967,3022,1704,1700,3.9,2600,9.5,88,5.6,191
Hyundai,246300000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4460,1780,1690,2780,,,,1272,10.5,,,
Suzuki,192000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,4,5,5,Complete Built Up (CBU),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,3990,1745,1485,2520,1505,1510,4.5,,,,,
Toyota,460600000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,8,Complete Knock Down (CKD),1987,80.5,97.6,111,188,Direct Injection,Aspirated,Pertamax,,4755,1850,1795,2850,1560,1580,,1685,14,,,
Toyota,214700000,Mobil Baru,2024,0 - 5K km,Putih,Manual,5,5,7,Complete Knock Down (CKD),1329,72.5,80.5,97,122,Multi-Point Injection,Aspirated,Pertamax,9.8,4395,1730,1665,2750,1515,1510,,,,,,
Hyundai,246300000,Mobil Baru,2024,0 - 5K km,Merah,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4460,1780,1690,2780,,,,1272,10.5,,,
Wuling,196000000,Mobil Bekas,2022,6000 km,Putih,Automatic,1,3,4,Complete Knock Down (CKD),,,,,,,,Electric,,2974,1505,1631,2010,,,,760,,,,
Lamborghini,13250000000,Mobil Baru,2022,0 - 5K km,Biru,Automatic,7,2,2,Complete Built Up (CBU),5204,84.5,92.8,630,565,Direct & Multi-Point Injection,Aspirated,Pertamax,,4547,1945,1220,2620,,,13.9,1339,12.7,331,3,310
Land Rover,3700000000,Mobil Baru,2023,0 - 5K km,Hijau,Automatic,8,5,5,Complete Built Up (CBU),1997,83,92.3,398,640,Direct Injection,Turbocharged,Pertamax,12.8,5018,2008,1967,3022,1704,1700,3.9,2600,9.5,88,5.6,191
Hyundai,246300000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4460,1780,1690,2780,,,,1272,10.5,,,
Toyota,155000000,Mobil Bekas,2016,145 - 150K km,Putih,Automatic,4,5,5,Complete Knock Down (CKD),1495,,,107,141,Multi-Point Injection,Aspirated,Pertamax,,4420,1745,1740,2685,1445,1480,,,,,,
Honda,330000000,Mobil Baru,2024,- km,Putih,Automatic,,5,7,Complete Knock Down (CKD),1498,73,89.5,119,145,Multi-Point Injection,Aspirated,Pertamax,10.6,4490,1780,1685,2700,1540,1540,,,10.6,,,
Honda,959900000,Mobil Baru,2024,- km,Hitam,Automatic,,4,5,Complete Built Up (CBU),1993,81,96.7,204,335,Multi-Point Injection,Aspirated,Pertamax,,4962,1862,1449,2830,1591,1613,,,13.9,,,
Mitsubishi,239000000,Mobil Bekas,2014,155 - 160K km,Hitam,Automatic,4,5,7,Complete Built Up (CBU),2477,91.1,95,134,314,Direct Injection,Turbocharged,Solar,11.1,4695,1815,1840,2800,,,,1925,17,,,
Honda,220000000,Mobil Baru,2023,- km,Orange,Manual,5,5,5,Complete Knock Down (CKD),1199,73,71.6,89,110,Multi-Point Injection,Aspirated,Pertamax,,3815,1680,1485,2405,1475,1460,,,10.1,,,
Hyundai,777000000,Mobil Baru,2023,- km,Silver,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1628,1637,,1910,,,7.4,185
Honda,1399000000,Mobil Baru,2023,- km,Putih,Manual,6,5,4,Complete Built Up (CBU),1996,86,85.9,315,420,Multi-Point Injection,Turbocharged,Pertamax,11.8,4593,1890,1407,2734,1624,1623,,1423,9.8,,,
Toyota,205000000,Mobil Bekas,2020,20 - 25K km,Putih,Automatic,4,5,7,Complete Knock Down (CKD),1496,72.5,90.6,103,136,Multi-Point Injection,Aspirated,Pertamax,,4435,1695,1705,2685,1450,1460,,,,,,
Mercedes-Benz,150000000,Mobil Bekas,2009,107500 km,Hitam,Automatic,7,4,5,Complete Built Up (CBU),1796,,,184,270,Direct Injection,Turbocharged,Pertamax,,4582,1770,1447,2760,,,6.9,1505,,161,7.8,
Hyundai,320400000,Mobil Baru,2024,- km,Silver,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4495,1815,1710,2780,,,,,10.5,,,
Honda,178000000,Mobil Bekas,2013,110 - 115K km,Silver,Automatic,5,5,5,Complete Knock Down (CKD),2354,87,99,187,222,Multi-Point Injection,Aspirated,Pertamax,11.8,4545,1820,1685,2620,1565,1565,8.4,1530,10,196,,
Honda,185000000,Mobil Baru,2024,- km,Abu-abu,Automatic,,5,5,Complete Knock Down (CKD),1199,73,71.6,89,110,Multi-Point Injection,Aspirated,Pertamax,,3800,1680,1485,2405,1480,1465,,,10.1,,,
Honda,410000000,Mobil Baru,2024,- km,Coklat,Automatic,,5,5,Complete Knock Down (CKD),1498,73,89.5,119,145,Multi-Point Injection,Aspirated,Pertamax,,4330,1790,1590,2610,1535,1540,,,10.6,,,
Toyota,719000000,Mobil Bekas,2018,55 - 60K km,Abu-abu,Automatic,,5,7,Complete Built Up (CBU),2494,90,98,177,234,Multi-Point Injection,Aspirated,Pertamax,11.6,4935,1850,1895,3000,1575,1600,8.6,2065,10.4,200,11.3,170
Honda,410000000,Mobil Baru,2024,- km,Abu-abu,Automatic,,5,5,Complete Knock Down (CKD),1498,73,89.5,119,145,Multi-Point Injection,Aspirated,Pertamax,,4330,1790,1590,2610,1535,1540,,,10.6,,,
Toyota,165000000,Mobil Bekas,2021,30 - 35K km,Putih,Manual,5,5,7,Complete Knock Down (CKD),1329,72.5,80.5,95,121,Multi-Point Injection,Aspirated,Pertamax,,4190,1660,1695,2655,1425,1435,,,,,,
Honda,360000000,Mobil Bekas,2018,75 - 80K km,Hijau,Automatic,,5,7,Complete Knock Down (CKD),1498,73,89.5,187,240,Direct Injection,Turbocharged,Pertamax,,4584,1855,1679,2660,1598,1613,,,10.3,,,
Mazda,415000000,Mobil Bekas,2021,25 - 30K km,Merah,Automatic,6,5,5,Complete Built Up (CBU),2488,89,100,188,252,Direct Injection,Aspirated,Pertamax,11,4550,1840,1680,2700,1595,1595,,1604,13,,,
KIA,1985000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,1,5,7,Complete Built Up (CBU),,,,,,,,Electric,,5015,1980,1780,3100,,,,,,,6,
Mercedes-Benz,900000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,7,5,5,Complete Built Up (CBU),1332,,,163,250,Direct Injection,Turbocharged,Pertamax,,4436,2020,1605,,,,6,1485,10.6,137,8.7,210
GMC,5350000000,Mobil Baru,2023,0 - 5K km,Hitam,Automatic,10,5,7,Complete Built Up (CBU),6200,,,420,624,Direct Injection,Aspirated,Pertamax,11.9,5179,2045,1890,2946,1740,,,2643,,,7.2,275
Chevrolet,171000000,Mobil Bekas,2017,80 - 85K km,Hitam,Automatic,6,5,5,Complete Built Up (CBU),1364,72.5,82.6,138,200,Multi-Point Injection,Turbocharged,Pertamax,11.3,4248,2035,1674,2555,1540,1540,6.9,1334,,163,,
Toyota,359000000,Mobil Bekas,2014,50 - 55K km,Hitam,Automatic,7,5,7,Complete Built Up (CBU),2362,88.5,96,168,220,Multi-Point Injection,Aspirated,Pertamax,11.8,4870,1830,1905,2950,1570,1575,9.4,1920,9.6,218,,
KIA,960000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,8,5,11,Complete Built Up (CBU),2151,,,199,441,Direct Injection,Turbocharged,Solar,,5155,1995,1750,3090,1740,1747,6.9,,16,182,10.7,190
KIA,1985000000,Mobil Baru,2024,0 - 5K km,Abu-abu,Automatic,1,5,7,Complete Built Up (CBU),,,,,,,,Electric,,5015,1980,1780,3100,,,,,,,6,
Toyota,190000000,Mobil Bekas,2022,10 - 15K km,Hitam,Automatic,,5,5,Complete Knock Down (CKD),996,71,83.9,97,140,Multi-Point Injection,Turbocharged,Pertamax,10.2,4030,1710,1635,2525,1475,1470,,1680,9.5,,,
BMW,95000000,Mobil Bekas,2005,105 - 110K km,Hitam,Automatic,6,5,5,Complete Knock Down (CKD),2171,80,72,168,210,Multi-Point Injection,Aspirated,Pertamax,,4841,1846,1468,2888,1558,1582,9.5,1570,,231,7.1,
KIA,960000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,8,5,11,Complete Built Up (CBU),2151,,,199,441,Direct Injection,Turbocharged,Solar,,5155,1995,1750,3090,1740,1747,6.9,,16,182,10.7,190
Toyota,288000000,Mobil Bekas,2012,175 - 180K km,Putih,Automatic,7,5,7,Complete Built Up (CBU),2362,88.5,96,168,220,Multi-Point Injection,Aspirated,Pertamax,11.8,4885,1840,1900,2950,1570,1575,9.4,1890,9.6,218,,
Toyota,288000000,Mobil Bekas,2012,145 - 150K km,Putih,Automatic,7,5,7,Complete Built Up (CBU),2362,88.5,96,168,220,Multi-Point Injection,Aspirated,Pertamax,11.8,4870,1830,1905,2950,1570,1575,9.4,1920,9.6,218,,
Nissan,85000000,Mobil Bekas,2011,175 - 180K km,Silver,Automatic,4,5,7,Complete Knock Down (CKD),1498,78,78.4,107,148,Multi-Point Injection,Aspirated,Pertamax,10.6,4420,1690,1595,2600,,,,1225,,,,
Toyota,235000000,Mobil Baru,2024,0 - 5K km,Putih,Manual,5,5,7,Complete Knock Down (CKD),1496,72.5,90.6,105,137,Multi-Point Injection,Aspirated,Pertamax,9.8,4395,1730,1700,2750,1505,1500,,,,,,
Toyota,229200000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,7,Complete Knock Down (CKD),1329,72.5,80.5,97,122,Multi-Point Injection,Aspirated,Pertamax,9.8,4395,1730,1665,2750,1515,1510,,,,,,
Toyota,606450000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,6,5,7,Complete Knock Down (CKD),2755,92,103.6,201,499,Direct Injection,Turbocharged,Solar,11.6,4795,1855,1835,2745,1545,1555,,2160,,,,
Mitsubishi,204000000,Mobil Bekas,2019,26971 km,Hitam,Automatic,4,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4475,1750,1700,2275,,,,,,,,
Toyota,285450000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,4,5,7,Complete Knock Down (CKD),1496,72.5,90.6,103,136,Multi-Point Injection,Aspirated,Pertamax,,4435,1695,1705,2685,1450,1460,,,,,,
Toyota,312900000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,7,Complete Knock Down (CKD),1496,72.5,90.6,105,137,Multi-Point Injection,Aspirated,Pertamax,9.8,4475,1750,1700,2750,1515,1510,,,,,,
Honda,135000000,Mobil Bekas,2005,130 - 135K km,Silver,Automatic,5,5,7,Complete Built Up (CBU),2354,,,158,218,Multi-Point Injection,Aspirated,Pertamax,,4765,1800,1550,2830,,,,1675,,,,
Toyota,265200000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,5,Complete Knock Down (CKD),996,71,83.9,97,140,Multi-Point Injection,Turbocharged,Pertamax,10.2,4030,1710,1635,2525,1475,1470,,1680,9.5,,,
Toyota,160400000,Mobil Baru,2024,- km,Kuning,Automatic,4,5,5,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,,3660,1600,1520,2450,1420,1415,,,,,,
Toyota,249700000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,7,Complete Knock Down (CKD),1496,72.5,90.6,105,137,Multi-Point Injection,Aspirated,Pertamax,9.8,4395,1730,1700,2750,1505,1500,,,,,,
Toyota,262900000,Mobil Baru,2024,- km,Silver,Automatic,,5,7,Complete Knock Down (CKD),1496,72.5,90.6,105,137,Multi-Point Injection,Aspirated,Pertamax,9.8,4475,1750,1700,2750,1515,1510,,,,,,
Toyota,215000000,Mobil Bekas,2021,20 - 25K km,Hitam,Automatic,4,5,7,Complete Knock Down (CKD),1496,72.5,90.6,103,136,Multi-Point Injection,Aspirated,Pertamax,,4435,1695,1705,2685,1450,1460,,,,,,
Hyundai,298000000,Mobil Bekas,2018,105 - 110K km,Abu-abu,Automatic,4,5,8,Complete Knock Down (CKD),2359,88,97,173,228,Multi-Point Injection,Aspirated,Pertamax,11.2,5125,1920,1925,3200,1685,1660,,,10.5,,,
BMW,268000000,Mobil Bekas,2015,65 - 70K km,Putih,Automatic,6,5,5,Complete Knock Down (CKD),1995,,,150,200,Multi-Point Injection,Aspirated,Pertamax,,4454,1798,1545,2760,,,7.9,1530,,185,10.4,
Wuling,275000000,Mobil Baru,2023,0 - 5K km,Abu-abu,Automatic,,5,5,Complete Knock Down (CKD),1485,74.7,84.7,105,143,Multi-Point Injection,Aspirated,Pertamax,,4350,1750,1610,2550,1502,1508,,,10.2,,,
Suzuki,223000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,4,5,7,Complete Knock Down (CKD),1462,,,103,138,Multi-Point Injection,Aspirated,Pertamax,10.4,4395,1735,1690,2740,,,,,10.5,,,
Toyota,245300000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,4,5,5,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,,3660,1600,1520,2450,1420,1415,,,,,,
Wuling,372000000,Mobil Baru,2023,0 - 5K km,Lainnya,Automatic,1,5,4,Complete Built Up (CBU),,,,,,,,Electric,,3950,1708,1580,2560,,,,,,,,
Toyota,608000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,6,5,7,Complete Knock Down (CKD),2755,92,103.6,201,499,Direct Injection,Turbocharged,Solar,11.6,4795,1855,1835,2745,1545,1555,,2160,,,,
Toyota,608000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,6,5,7,Complete Knock Down (CKD),2755,92,103.6,201,499,Direct Injection,Turbocharged,Solar,11.6,4795,1855,1835,2745,1545,1555,,2160,,,,
Mitsubishi,325250000,Mobil Baru,2024,- km,Hitam,Manual,5,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4595,1790,1750,,,,,,,,,
Wuling,372000000,Mobil Baru,2023,0 - 5K km,Lainnya,Automatic,1,5,4,Complete Built Up (CBU),,,,,,,,Electric,,3950,1708,1580,2560,,,,,,,,
Toyota,180400000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,4,5,5,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,,3660,1600,1520,2450,1420,1415,,,,,,
Wuling,372000000,Mobil Baru,2023,0 - 5K km,Lainnya,Automatic,1,5,4,Complete Built Up (CBU),,,,,,,,Electric,,3950,1708,1580,2560,,,,,,,,
Toyota,350000000,Mobil Bekas,2013,105 - 110K km,Putih,Automatic,7,5,7,Complete Built Up (CBU),2362,88.5,96,168,220,Multi-Point Injection,Aspirated,Pertamax,11.8,4885,1840,1900,2950,1555,1560,9.4,1890,9.6,218,,
Toyota,238000000,Mobil Bekas,2016,105100 km,Putih,Manual,5,5,8,Complete Knock Down (CKD),1998,86,86,137,183,Multi-Point Injection,Aspirated,Pertamax,,4735,1830,1795,2750,1540,1540,,1700,,,,
Mercedes-Benz,1400000000,Mobil Baru,2023,0 - 5K km,Putih,Automatic,9,4,5,Complete Knock Down (CKD),1991,,,258,370,Direct Injection,Turbocharged,Pertamax,,4923,1852,1460,2939,1604,1608,7,1605,10.5,159,6.2,250
Mercedes-Benz,1750000000,Mobil Baru,2023,- km,Abu-abu,Automatic,9,5,7,Complete Knock Down (CKD),2999,83,92.4,367,500,Direct Injection,Turbocharged,Pertamax,12,4924,2010,1797,2995,1680,1726,8.7,2220,10.5,191,5.7,250
Lexus,798000000,Mobil Bekas,2020,25 - 30K km,Putih,Automatic,6,5,5,Complete Built Up (CBU),1998,86,86,235,350,Direct Injection,Turbocharged,Pertamax,11.4,4630,1845,1630,2660,1580,1580,,1740,10,,7.3,200
